
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::0                   922612     43.70%     43.70% # Number of insts issued each cycle
system.cpu1.numIssuedDist::1                   170303      8.07%     51.76% # Number of insts issued each cycle
system.cpu1.numIssuedDist::2                   221562     10.49%     62.26% # Number of insts issued each cycle
system.cpu1.numIssuedDist::3                   216894     10.27%     72.53% # Number of insts issued each cycle
system.cpu1.numIssuedDist::4                   201679      9.55%     82.08% # Number of insts issued each cycle
system.cpu1.numIssuedDist::5                   142919      6.77%     88.85% # Number of insts issued each cycle
system.cpu1.numIssuedDist::6                   113818      5.39%     94.24% # Number of insts issued each cycle
system.cpu1.numIssuedDist::7                    69007      3.27%     97.51% # Number of insts issued each cycle
system.cpu1.numIssuedDist::8                    52618      2.49%    100.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::min_value                0                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::max_value                8                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::total              2111412                       # Number of insts issued each cycle
system.cpu1.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntAlu                  50636     69.90%     69.90% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntMult                     0      0.00%     69.90% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntDiv                      0      0.00%     69.90% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatAdd                    0      0.00%     69.90% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCmp                    0      0.00%     69.90% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCvt                   53      0.07%     69.97% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMult                   0      0.00%     69.97% # attempts to use FU when none available (Count)
